name,Type,effect,component,group,term,estimate,std.error,statistic,p.value
Linolenic,FA,ran_pars,cond,ID,sd__TreatmentControl,6.993414231452573e-6,NA,NA,NA
Linolenic,FA,ran_pars,cond,ID,sd__TreatmentImpact,0.45485025218134917,NA,NA,NA
Linolenic,FA,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
Docosahexaenoic,FA,fixed,cond,NA,(Intercept),-2.0536561560746307,0.5956335431519313,-3.4478517532898483,5.650640909789258e-4
Docosahexaenoic,FA,fixed,cond,NA,SeasonQ320,-0.42054811980036466,0.28350535948345434,-1.48338684166889,0.1379716613947968
Docosahexaenoic,FA,fixed,cond,NA,SeasonQ419,0.41491096464606025,0.1831370624566972,2.2655761705480346,0.023477345456201743
Docosahexaenoic,FA,fixed,cond,NA,SeasonQ420,-0.5021875179546674,0.25805136620143676,-1.9460757962531237,0.05164563550344923
Docosahexaenoic,FA,fixed,cond,NA,TreatmentImpact,0.025549355151622585,0.15526293920717707,0.16455540054881015,0.8692939377512944
Docosahexaenoic,FA,fixed,cond,NA,Sexmale,0.07681217906982628,0.13544737384388933,0.5670998033402745,0.5706463765094782
Docosahexaenoic,FA,fixed,cond,NA,Maturitymature,0.37698572051614615,0.1615177281306504,2.334020697784985,0.019594638163631557
Docosahexaenoic,FA,fixed,cond,NA,Age,-0.03326104673686954,0.033728212785401425,-0.9861491015991785,0.3240599516682119
Docosahexaenoic,FA,fixed,cond,NA,Fulton,-0.3590912387218132,0.5603496099713312,-0.6408342797636375,0.5216303584856161
Docosahexaenoic,FA,ran_pars,cond,Location,sd__(Intercept),2.962364000355714e-5,NA,NA,NA
Docosahexaenoic,FA,ran_pars,cond,ID,sd__TreatmentControl,0.017665359829945448,NA,NA,NA
Docosahexaenoic,FA,ran_pars,cond,ID,sd__TreatmentImpact,0.03946373723181128,NA,NA,NA
Docosahexaenoic,FA,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
Eicosapentaenoic,FA,fixed,cond,NA,(Intercept),-2.760722697986207,0.5264245208805374,-5.244289710077361,1.5688552380278364e-7
Eicosapentaenoic,FA,fixed,cond,NA,SeasonQ320,-0.38063763025288916,0.22795915697962346,-1.6697624052317106,0.09496638128134385
Eicosapentaenoic,FA,fixed,cond,NA,SeasonQ419,0.34478063286918065,0.15428051253686828,2.2347646322913834,0.025432804913230782
Eicosapentaenoic,FA,fixed,cond,NA,SeasonQ420,-0.5140069832928073,0.21485548492727272,-2.392338196377884,0.016741407975366537
Eicosapentaenoic,FA,fixed,cond,NA,TreatmentImpact,-0.03088073174090319,0.13369486412797527,-0.23097919237453704,0.8173309670565263
Eicosapentaenoic,FA,fixed,cond,NA,Sexmale,0.04039206817240304,0.11723711614119597,0.34453310949542937,0.7304454006352128
Eicosapentaenoic,FA,fixed,cond,NA,Maturitymature,-0.04085590026710163,0.13639304448692863,-0.2995453354735923,0.7645239862843358
Eicosapentaenoic,FA,fixed,cond,NA,Age,-0.014090053138838961,0.02887650580871182,-0.4879417624894249,0.6255910922842955
Eicosapentaenoic,FA,fixed,cond,NA,Fulton,0.1950914666046988,0.4911123823885165,0.3972440394515709,0.6911875094261761
Eicosapentaenoic,FA,ran_pars,cond,Location,sd__(Intercept),2.2161568607901504e-4,NA,NA,NA
Eicosapentaenoic,FA,ran_pars,cond,ID,sd__TreatmentControl,2.5929492429243563e-5,NA,NA,NA
Eicosapentaenoic,FA,ran_pars,cond,ID,sd__TreatmentImpact,0.0011990181127160364,NA,NA,NA
Eicosapentaenoic,FA,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
Arachidonic,FA,fixed,cond,NA,(Intercept),-4.64007690886494,0.43053989122179875,-10.777344918486401,4.404146969381727e-27
Arachidonic,FA,fixed,cond,NA,SeasonQ320,0.19437942176809467,0.18944292015270098,1.0260579894535757,0.3048642508662535
Arachidonic,FA,fixed,cond,NA,SeasonQ419,0.19644493383876124,0.13119565968869826,1.4973432376108082,0.13430396978075804
Arachidonic,FA,fixed,cond,NA,SeasonQ420,0.18955119658643563,0.16384763573586625,1.1568747741469112,0.24732352636216437
Arachidonic,FA,fixed,cond,NA,TreatmentImpact,-0.008032965267593338,0.12197066657338927,-0.06585981279982539,0.947489435823589
Arachidonic,FA,fixed,cond,NA,Sexmale,0.12931106057168656,0.09391886500652978,1.3768379820464836,0.1685623449260776
Arachidonic,FA,fixed,cond,NA,Maturitymature,-0.045187865015989113,0.1106182877321063,-0.4085026621043385,0.6829046765243909
Arachidonic,FA,fixed,cond,NA,Age,-0.006615059263437922,0.02236445132990814,-0.2957845540610941,0.7673946195597066
Arachidonic,FA,fixed,cond,NA,Fulton,0.2313378341369945,0.40746624777258966,0.5677472315844577,0.5702066152977114
Arachidonic,FA,ran_pars,cond,Location,sd__(Intercept),0.007668634786140752,NA,NA,NA
Arachidonic,FA,ran_pars,cond,ID,sd__TreatmentControl,0.29844807652390887,NA,NA,NA
Arachidonic,FA,ran_pars,cond,ID,sd__TreatmentImpact,0.40233772921647604,NA,NA,NA
Arachidonic,FA,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
