ID,Season,Location,Fjord,Treatment,Sex,Maturity,Age,Fulton,name,value,Type
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,Arachidonic,0.1757945108,FA
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,w3,24.125499505,FA index
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,w6,4.1642489929,FA index
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,SFA,29.80975275,FA index
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,MFA,42.959011324600006,FA index
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,PUFA,27.2312359253,FA index
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,Oleic,18.3764931605,FA
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,Linoleic,2.3995768642,FA
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,Linolenic,1.3410642916,FA
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,Docosahexaenoic,13.4175380436,FA
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,Eicosapentaenoic,8.1929941461,FA
F_187,Q220,Frakkfjord,Frakkfjord,Control,female,mature,7,0.8296296296296296,Arachidonic,0.4628017898,FA
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,w3,33.562224613699996,FA index
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,w6,6.2637272371,FA index
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,SFA,29.3186330595,FA index
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,MFA,32.9341945031,FA index
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,PUFA,37.7471724373,FA index
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,Oleic,22.3570874774,FA
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,Linoleic,2.3859128721,FA
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,Linolenic,0.3071334586,FA
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,Docosahexaenoic,21.1506472879,FA
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,Eicosapentaenoic,9.8516538517,FA
F_19,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,10,0.829284094590217,Arachidonic,0.5364660035,FA
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,w3,22.7028954629,FA index
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,w6,4.4549748403,FA index
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,SFA,24.6902764598,FA index
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,MFA,49.87421207679999,FA index
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,PUFA,25.4355114634,FA index
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,Oleic,16.720707032300002,FA
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,Linoleic,2.4246237206,FA
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,Linolenic,0.7022648808,FA
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,Docosahexaenoic,12.5420272862,FA
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,Eicosapentaenoic,7.509535624,FA
F_195,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.7307927762473218,Arachidonic,0.8063669607,FA
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,w3,21.7703635961,FA index
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,w6,3.8974622211,FA index
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,SFA,29.6557081742,FA index
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,MFA,45.3966045659,FA index
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,PUFA,24.9476872598,FA index
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,Oleic,20.0717226534,FA
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,Linoleic,1.4949388173,FA
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,Linolenic,0.7748002599,FA
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,Docosahexaenoic,13.6599903396,FA
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,Eicosapentaenoic,6.1718561825,FA
F_198,Q220,Frakkfjord,Frakkfjord,Control,male,mature,7,0.9244444444444444,Arachidonic,1.0942913412,FA
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,w3,25.1449398215,FA index
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,w6,16.014224894899996,FA index
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,SFA,15.774921127599995,FA index
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,MFA,50.8588746315,FA index
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,PUFA,33.366204240799995,FA index
F_201,Q220,Bergsfjord,Bergsfjord,Impact,female,mature,8,0.7696686841717635,Oleic,42.8038785037,FA
